,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
198,16,50,84,0.73,0.02939711022793548,"(100, 'attractiveness', 5, 1, 10, 1)",4
199,14,50,86,0.73,0.010019874088333944,"(100, 'attractiveness', 5, 1, 10, 1)",4
200,14,50,86,0.73,0.010019874088333944,"(100, 'attractiveness', 5, 1, 10, 1)",4
201,14,50,86,0.73,0.010019874088333944,"(100, 'attractiveness', 5, 1, 10, 1)",4
202,14,50,86,0.73,0.010019874088333944,"(100, 'attractiveness', 5, 1, 10, 1)",4
203,12,50,88,0.731,-0.003150839756076774,"(100, 'attractiveness', 5, 1, 10, 1)",4
204,12,50,88,0.731,-0.003150839756076774,"(100, 'attractiveness', 5, 1, 10, 1)",4
205,12,50,88,0.731,-0.003150839756076774,"(100, 'attractiveness', 5, 1, 10, 1)",4
206,10,50,90,0.727,0.08266544919971587,"(100, 'attractiveness', 5, 1, 10, 1)",4
207,10,50,90,0.727,0.08266544919971587,"(100, 'attractiveness', 5, 1, 10, 1)",4
208,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",5
209,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",5
210,98,50,2,0.6849999999999999,,"(100, 'attractiveness', 5, 1, 10, 1)",5
211,94,50,6,0.767,-0.5974967412996497,"(100, 'attractiveness', 5, 1, 10, 1)",5
212,90,50,10,0.751,-0.16641714698322907,"(100, 'attractiveness', 5, 1, 10, 1)",5
213,88,50,12,0.757,-0.1525645765344369,"(100, 'attractiveness', 5, 1, 10, 1)",5
214,86,50,14,0.745,-0.34574767157946595,"(100, 'attractiveness', 5, 1, 10, 1)",5
215,82,50,18,0.742,-0.3838870083991738,"(100, 'attractiveness', 5, 1, 10, 1)",5
216,78,50,22,0.727,-0.2355174805520913,"(100, 'attractiveness', 5, 1, 10, 1)",5
217,76,50,24,0.727,-0.23525384534229835,"(100, 'attractiveness', 5, 1, 10, 1)",5
218,70,50,30,0.727,-0.20590760257926008,"(100, 'attractiveness', 5, 1, 10, 1)",5
219,68,50,32,0.731,-0.1708352938872128,"(100, 'attractiveness', 5, 1, 10, 1)",5
220,62,50,38,0.732,-0.1845982558309653,"(100, 'attractiveness', 5, 1, 10, 1)",5
